,bitfinex_MTS,bitfinex_OPEN,bitfinex_CLOSE,bitfinex_HIGH,bitfinex_LOW,bitfinex_VOLUME
287,2020/04/18 1:00,7085.6,7095.4,7105.9,7082.3,99.02921548
288,2020/04/18 0:00,7045.805499,7085.010373,7090,7031.1,149.2644063
289,2020/04/17 23:00,7073,7045.8,7159.5,7030.262072,494.6235062
290,2020/04/17 22:00,7066.5,7072.925781,7086.4,7063.6,29.20397378
291,2020/04/17 21:00,7075,7066.5,7096.1,7059.8,60.87377123
292,2020/04/17 20:00,7090.655139,7075.072917,7105,7064,109.9844307
293,2020/04/17 19:00,7050.061706,7090.1,7110.8,7049.5,371.8463267
294,2020/04/17 18:00,7055.6,7050.061706,7061.8,7030.8,104.2005376
295,2020/04/17 17:00,7068.129372,7055.6,7080.536629,7045.6,48.3998933
296,2020/04/17 16:00,7060.084671,7068.1,7074.923117,7052.9,184.1383826
297,2020/04/17 15:00,7044.2,7060,7077.831132,7034.8,99.32481743
298,2020/04/17 14:00,7081,7044.842136,7093.8,7035,333.2456441
299,2020/04/17 13:00,7117.088218,7081,7118,7010.2,587.9337833
300,2020/04/17 12:00,7095.051408,7113.149905,7117.3,7085.7,83.62293319
301,2020/04/17 11:00,7112,7095,7140.6,7077.8,140.7221459
302,2020/04/17 10:00,7122.424781,7115.6,7129.719332,7099.557583,67.544815
303,2020/04/17 9:00,7081.907396,7122.424781,7143,7081.9,663.6039407
304,2020/04/17 8:00,7062.7,7081.907396,7095.9,7051.4,77.39491133
305,2020/04/17 7:00,7070.52619,7061.3,7091.4,7050,129.710227
306,2020/04/17 6:00,7086.609216,7070.52619,7089.1,7041.9,105.0153233
307,2020/04/17 5:00,7058.4,7086.609216,7096.3,7042.409602,150.7817988
308,2020/04/17 4:00,7103.991429,7058.6,7103.991429,7026.610333,135.2484286
309,2020/04/17 3:00,7079,7103.9,7104.7,7064.951433,71.7561368
310,2020/04/17 2:00,7128,7080.066536,7128,7079.1,125.5492349
311,2020/04/17 1:00,7081,7129.8,7145,7081,131.6269426
312,2020/04/17 0:00,7114.7,7081.1,7160.5,7037.5,374.2106826
313,2020/04/16 23:00,7175.1,7114.7,7200,7076.5,474.2968626
314,2020/04/16 22:00,7085.3,7171.3,7188,7080,697.872673
315,2020/04/16 21:00,7066.7,7085.2,7098.8,7046.968222,162.3034891
316,2020/04/16 20:00,7094.9,7064.2,7095,6992,391.241509
317,2020/04/16 19:00,7027.9,7094.9,7109.1,7014.3,518.3249223
318,2020/04/16 18:00,7024,7028,7058.9,6996,86.70503597
319,2020/04/16 17:00,7026.33807,7024,7045.3,7011.1,100.4727789
320,2020/04/16 16:00,7067.1,7023.9,7075,6980,346.4969868
321,2020/04/16 15:00,7042.374299,7067.1,7074.5,7025,277.5382913
322,2020/04/16 14:00,7000,7042.4,7043,7000,267.3245016
323,2020/04/16 13:00,7085.1,7000,7100,7000,427.4856562
324,2020/04/16 12:00,7048.9,7085,7089.5,6962.4,613.7450472
325,2020/04/16 11:00,6987.250297,7050.9,7084,6971.486368,362.8989917
326,2020/04/16 10:00,7049.957394,6987.3,7078.7,6940.1,1583.059735
327,2020/04/16 9:00,7072.6,7049.957394,7127,7012.4,1288.619826
328,2020/04/16 8:00,6918.2,7072.6,7166.4,6906.014904,2704.184872
329,2020/04/16 7:00,6700,6917.3,6999,6699.9,3084.924912
330,2020/04/16 6:00,6649.6,6699.975505,6700,6649.537582,338.377724
331,2020/04/16 5:00,6638.6,6649.537582,6672.2,6638.6,102.3790416
332,2020/04/16 4:00,6664.1,6638.6,6685.2,6638.5,89.28583097
333,2020/04/16 3:00,6654.951216,6664.2,6685.2,6614.3,246.6212433
334,2020/04/16 2:00,6637.542684,6654.9,6660,6620.5,217.2276512
335,2020/04/16 1:00,6587.1,6637.433878,6677,6556,751.7599506
336,2020/04/16 0:00,6633.72277,6587.2,6633.8,6500.4,2621.499213
